issue_id	publish_year	publish_month	icon_url	"Character Id: 1464, Name: Iceman"	Number of Issues: 3517
26523	1986	2	1636639-x_factor__1986_1st_series__01_icon.jpeg		
26501	1986	2	23780-2569-26501-1-defenders-the_icon.jpg		
95163	1986	2	62168-3490-95163-1-marvel-saga-the_icon.jpg		
66623	1986	2	50814-3497-66623-1-official-handbook-of_icon.jpg		
26617	1986	3	1636640-x_factor__1986_1st_series__02_icon.jpeg		
95164	1986	3	62169-3490-95164-1-marvel-saga-the_icon.jpg		
26714	1986	4	1636641-x_factor__1986_1st_series__03_icon.jpeg		
145981	1986	4	641732-37_icon.jpg		
26808	1986	5	24068-3657-26808-1-x-factor_icon.jpg		
95166	1986	5	62171-3490-95166-1-marvel-saga-the_icon.jpg		
26906	1986	6	24161-3657-26906-1-x-factor_icon.jpg		
95167	1986	6	62172-3490-95167-1-marvel-saga-the_icon.jpg		
145983	1986	6	641734-39_icon.jpg		
27001	1986	7	24250-3657-27001-1-x-factor_icon.jpg		
95168	1986	7	62173-3490-95168-1-marvel-saga-the_icon.jpg		
27097	1986	8	24342-3657-27097-1-x-factor_icon.jpg		
95169	1986	8	62174-3490-95169-1-marvel-saga-the_icon.jpg		
47389	1986	9	41729-3626-47389-1-classic-x-men_icon.jpg		
27193	1986	9	24435-3657-27193-1-x-factor_icon.jpg		
95170	1986	9	62175-3490-95170-1-marvel-saga-the_icon.jpg		
66333	1986	10	50528-3658-66333-1-x-factor-annual_icon.jpg		
47390	1986	10	41730-3626-47390-1-classic-x-men_icon.jpg		
27290	1986	10	24527-3657-27290-1-x-factor_icon.jpg		
107057	1986	10	99589-3092-107057-1-uncanny-x-men-the_icon.jpg		
27280	1986	10	2186057-08_icon.jpg		
27399	1986	11	24629-3657-27399-1-x-factor_icon.jpg		
27375	1986	11	24605-2127-27375-1-amazing-spider-man-_icon.jpg		
95172	1986	11	62177-3490-95172-1-marvel-saga-the_icon.jpg		
315336	1986	11	2195192-pxf1029_icon.jpg		
157224	1986	11	798714-ma44_icon.jpg		
66627	1986	11	50818-3497-66627-1-official-handbook-of_icon.jpg		
27504	1986	12	24728-3657-27504-1-x-factor_icon.jpg		
27494	1986	12	24718-3358-27494-1-power-pack_icon.jpg		
27694	1987	1	24904-3657-27694-1-x-factor_icon.jpg		
95174	1987	1	62179-3490-95174-1-marvel-saga-the_icon.jpg		
47395	1987	3	41735-3626-47395-1-classic-x-men_icon.jpg		
27915	1987	3	25108-3657-27915-1-x-factor_icon.jpg		
27911	1987	3	25104-2294-27911-1-thor_icon.jpg		
133036	1987	3	446499-13530_4_001_icon.jpg		
95176	1987	3	62181-3490-95176-1-marvel-saga-the_icon.jpg		
47396	1987	4	41736-3626-47396-1-classic-x-men_icon.jpg		
28026	1987	4	25209-3657-28026-1-x-factor_icon.jpg		
28022	1987	4	25205-2294-28022-1-thor_icon.jpg		
315157	1987	4	2193545-pxf1040_icon.jpg		
315158	1987	4	2193546-pxf1039_icon.jpg		
28123	1987	5	25296-2294-28123-1-thor_icon.jpg		
28117	1987	5	25290-3143-28117-1-marvel-fanfare_icon.jpg		
28056	1987	5	25231-3853-28056-1-mephisto-vs---_icon.jpg		
133037	1987	5	446501-13530_4_002_icon.jpg		
315155	1987	5	2193533-pxf1041_icon.jpg		
315154	1987	5	2193531-pxf1042_icon.jpg		
28142	1987	5	25315-3234-28142-1-new-mutants-the_icon.jpg		
94589	1987	6	61594-3842-94589-1-fallen-angels_icon.jpg		
28237	1987	6	25404-3657-28237-1-x-factor_icon.jpg		
95179	1987	6	62184-3490-95179-1-marvel-saga-the_icon.jpg		
315152	1987	6	2193529-pxf1044_icon.jpg		
315153	1987	6	2193530-pxf1043_icon.jpg		
28354	1987	7	25512-3657-28354-1-x-factor_icon.jpg		
133038	1987	7	446503-13530_4_003_icon.jpg		
315151	1987	7	2193528-pxf1045_icon.jpg		
315149	1987	7	2193523-pxf1047_icon.jpg		
315150	1987	7	2193525-pxf1046_icon.jpg		
28473	1987	8	25622-3657-28473-1-x-factor_icon.jpg		
95181	1987	8	62186-3490-95181-1-marvel-saga-the_icon.jpg		
28582	1987	9	25724-3657-28582-1-x-factor_icon.jpg		
28580	1987	9	25722-3521-28580-1-west-coast-avengers_icon.jpg		
66334	1987	10	50529-3658-66334-1-x-factor-annual_icon.jpg		
28703	1987	10	25837-3657-28703-1-x-factor_icon.jpg		
28688	1987	10	1743864-incredible_hulk__1962_1999_1st_series__336d_icon.jpeg		
47402	1987	10	41742-3626-47402-1-classic-x-men_icon.jpg		
28821	1987	11	25944-3657-28821-1-x-factor_icon.jpg		
28802	1987	11	1743865-incredible_hulk__1962_1999_1st_series__337d_icon.jpeg		
27573	1987	11	24791-3851-27573-1-marvel-masterworks_icon.jpg		
28938	1987	12	26054-3657-28938-1-x-factor_icon.jpg		
29161	1988	1	26261-3657-29161-1-x-factor_icon.jpg		
47405	1988	1	41745-3626-47405-1-classic-x-men_icon.jpg		
311375	1988	1	2162664-fxf101_icon.jpg		
145984	1988	1	641735-58_icon.jpg		
29276	1988	2	26367-3657-29276-1-x-factor_icon.jpg		
29264	1988	2	26355-3358-29264-1-power-pack_icon.jpg		
29258	1988	2	26349-2400-29258-1-captain-america_icon.jpg		
315131	1988	2	2193500-pxf1061_icon.jpg		
311406	1988	2	2162896-fxf102_icon.jpg		
29387	1988	3	26471-3657-29387-1-x-factor_icon.jpg		
29371	1988	3	26455-2045-29371-1-fantastic-four_icon.jpg		
311409	1988	3	2162908-fxf103_icon.jpg		
29497	1988	4	26573-3657-29497-1-x-factor_icon.jpg		
311410	1988	4	2162909-fxf104_icon.jpg		
47409	1988	5	41749-3626-47409-1-classic-x-men_icon.jpg		
29607	1988	5	26677-3657-29607-1-x-factor_icon.jpg		
311411	1988	5	2162912-fxf105_icon.jpg		
29723	1988	6	26785-3657-29723-1-x-factor_icon.jpg		
311412	1988	6	2162916-fxf106_icon.jpg		
29842	1988	7	26890-3657-29842-1-x-factor_icon.jpg		
47411	1988	7	41751-3626-47411-1-classic-x-men_icon.jpg		
311413	1988	7	2162917-fxf107_icon.jpg		
66335	1988	8	50530-3658-66335-1-x-factor-annual_icon.jpg		
29957	1988	8	26997-3657-29957-1-x-factor_icon.jpg		
48866	1988	8	42738-4079-48866-1-what-the--_icon.jpg		
197621	1988	8	2357131-marvel_age_annual4_icon.jpg		
