Bicentennial Man (1999),Chris Columbus,Robin Williams,Embeth Davidtz,Sam Neill,Oliver Platt,
Blast from the Past (1999),Hugh Wilson,Brendan Fraser,Alicia Silverstone,Christopher Walken,Sissy Spacek,
Inspector Gadget (1999),David Kellogg,Matthew Broderick,Rupert Everett,Joely Fisher,Michelle Trachtenberg,
Lake Placid (1999),Steve Miner,Bridget Fonda,Bill Pullman,Oliver Platt,Brendan Gleeson,
Muppets from Space (1999),Tim Hill,Dave Goelz,Steve Whitmire,Bill Barretta,Jerry Nelson,
My Favorite Martian (1999),Donald Petrie,Christopher Lloyd,Jeff Daniels,Elizabeth Hurley,Daryl Hannah,
Mystery Men (1999),Kinka Usher,Ben Stiller,Janeane Garofalo,William H. Macy,Hank Azaria,
Pokí©mon: The First Movie - Mewtwo Strikes Back (1998),Kunihiko Yuyama,Michael Haigney,Veronica Taylor,Rachael Lillis,Eric Stuart,Philip Bartlett
The Thirteenth Floor (1999),Josef Rusnak,Craig Bierko,Gretchen Mol,Armin Mueller-Stahl,Vincent D'Onofrio,
Virus (1999),John Bruno,Jamie Lee Curtis,William Baldwin,Donald Sutherland,Joanna Pacula,
Wild Wild West (1999),Barry Sonnenfeld,Will Smith,Kevin Kline,Kenneth Branagh,Salma Hayek,
Wing Commander (1999),Chris Roberts,Freddie Prinze Jr.,Matthew Lillard,Saffron Burrows,TchŽky Karyo,
Mission to Mars (2000),Brian De Palma,Tim Robbins,Gary Sinise,Don Cheadle,Connie Nielsen,
Nutty Professor II: The Klumps (2000),Peter Segal,Eddie Murphy,Janet Jackson,Larry Miller,John Ales,
Titan A.E. (2000),Don Bluth,Gary Goldman,Matt Damon,Drew Barrymore,Bill Pullman,John Leguizamo
Evolution (2001),Ivan Reitman,David Duchovny,Orlando Jones,Julianne Moore,Seann William Scott,
Final Fantasy: The Spirits Within (2001),Hironobu Sakaguchi,Motonori Sakakibara,Alec Baldwin,Steve Buscemi,Ming-Na Wen,Ving Rhames
Jimmy Neutron: Boy Genius (2001),John A. Davis,Debi Derryberry,Rob Paulsen,Megan Cavanagh,Mark DeCarlo,
Just Visiting (2001),Jean-Marie Gaubert,Jean Reno,Christina Applegate,Christian Clavier,Matt Ross,
